"id" "title" "solved_by"
"1" 1 "Multiples of 3 and 5" 543358
"2" 2 "Even Fibonacci numbers" 443162
"3" 3 "Largest prime factor" 320576
"4" 6 "Sum square difference" 301646
"5" 5 "Smallest multiple" 299929
"6" 4 "Largest palindrome product" 288345
"7" 7 "10001st prime" 258450
"8" 9 "Special Pythagorean triplet" 222634
"9" 8 "Largest product in a series" 222255
"10" 10 "Summation of primes" 204502
"11" 11 "Largest product in a grid" 150653
"12" 16 "Power digit sum" 147065
"13" 13 "Large sum" 145043
"14" 14 "Longest Collatz sequence" 143435
"15" 12 "Highly divisible triangular number" 138797
"16" 20 "Factorial digit sum" 131388
"17" 15 "Lattice paths" 119220
"18" 25 "1000-digit Fibonacci number" 101793
"19" 17 "Number letter counts" 97795
"20" 18 "Maximum path sum I" 94814
"21" 21 "Amicable numbers" 94416
"22" 19 "Counting Sundays" 87774
"23" 22 "Names scores" 87580
"24" 48 "Self powers" 77369
"25" 24 "Lexicographic permutations" 75283
"26" 28 "Number spiral diagonals" 73066
"27" 30 "Digit fifth powers" 71889
"28" 29 "Distinct powers" 68199
"29" 23 "Non-abundant sums" 66713
"30" 67 "Maximum path sum II" 65765
"31" 34 "Digit factorials" 62228
"32" 36 "Double-base palindromes" 59745
"33" 27 "Quadratic primes" 56897
"34" 35 "Circular primes" 56513
"35" 31 "Coin sums" 54291
"36" 26 "Reciprocal cycles" 54226
"37" 40 "Champernowne's constant" 53006
"38" 42 "Coded triangle numbers" 49995
"39" 37 "Truncatable primes" 48477
"40" 39 "Integer right triangles" 47804
"41" 45 "Triangular, pentagonal, and hexagonal" 47482
"42" 33 "Digit cancelling fractions" 47168
"43" 32 "Pandigital products" 46256
"44" 41 "Pandigital prime" 44571
"45" 52 "Permuted multiples" 43815
"46" 38 "Pandigital multiples" 41249
"47" 50 "Consecutive prime sum" 40217
"48" 53 "Combinatoric selections" 39693
"49" 46 "Goldbach's other conjecture" 39511
"50" 56 "Powerful digit sum" 38898
"51" 43 "Sub-string divisibility" 38496
"52" 47 "Distinct primes factors" 37575
"53" 49 "Prime permutations" 37501
"54" 44 "Pentagon numbers" 37253
"55" 55 "Lychrel numbers" 35819
"56" 97 "Large non-Mersenne prime" 31090
"57" 79 "Passcode derivation" 29636
"58" 63 "Powerful digit counts" 28312
"59" 92 "Square digit chains" 28176
"60" 59 "XOR decryption" 27834
"61" 57 "Square root convergents" 26931
"62" 58 "Spiral primes" 26127
"63" 81 "Path sum: two ways" 23108
"64" 54 "Poker hands" 22822
"65" 69 "Totient maximum" 22391
"66" 51 "Prime digit replacements" 20923
"67" 99 "Largest exponential" 20430
"68" 62 "Cubic permutations" 20063
"69" 65 "Convergents of e" 19811
"70" 71 "Ordered fractions" 18937
"71" 76 "Counting summations" 18843
"72" 74 "Digit factorial chains" 17505
"73" 73 "Counting fractions in a range" 16803
"74" 60 "Prime pair sets" 16456
"75" 112 "Bouncy numbers" 16398
"76" 85 "Counting rectangles" 16358
"77" 61 "Cyclical figurate numbers" 16256
"78" 206 "Concealed Square" 15452
"79" 70 "Totient permutation" 14581
"80" 72 "Counting fractions" 14537
"81" 89 "Roman numerals" 14520
"82" 102 "Triangle containment" 14479
"83" 64 "Odd period square roots" 14218
"84" 82 "Path sum: three ways" 13907
"85" 87 "Prime power triples" 13678
"86" 68 "Magic 5-gon ring" 13347
"87" 80 "Square root digital expansion" 12962
"88" 66 "Diophantine equation" 12597
"89" 77 "Prime summations" 12266
"90" 83 "Path sum: four ways" 11864
"91" 75 "Singular integer right triangles" 11571
"92" 145 "How many reversible numbers are there below one-billion?" 11058
"93" 96 "Su Doku" 10960
"94" 104 "Pandigital Fibonacci ends" 10936
"95" 78 "Coin partitions" 10780
"96" 100 "Arranged probability" 10393
"97" 205 "Dice Game" 10148
"98" 91 "Right triangles with integer coordinates" 10093
"99" 124 "Ordered radicals" 9557
"100" 120 "Square remainders" 9369
"101" 125 "Palindromic sums" 9203
"102" 95 "Amicable chains" 9126
"103" 108 "Diophantine reciprocals I" 8642
"104" 86 "Cuboid route" 8158
"105" 119 "Digit power sum" 8141
"106" 116 "Red, green or blue tiles" 7996
"107" 84 "Monopoly odds" 7962
"108" 123 "Prime square remainders" 7859
"109" 179 "Consecutive positive divisors" 7853
"110" 187 "Semiprimes" 7766
"111" 94 "Almost equilateral triangles" 7758
"112" 113 "Non-bouncy numbers" 7507
"113" 93 "Arithmetic expressions" 7458
"114" 117 "Red, green, and blue tiles" 7337
"115" 107 "Minimal network" 7241
"116" 114 "Counting block combinations I" 7162
"117" 98 "Anagramic squares" 7142
"118" 101 "Optimum polynomial" 7094
"119" 90 "Cube digit pairs" 7054
"120" 115 "Counting block combinations II" 6556
"121" 121 "Disc game prize fund" 6453
"122" 243 "Resilience" 6383
"123" 203 "Squarefree Binomial Coefficients" 6370
"124" 173 "Using up to one million tiles how many different \"hollow\" square laminae can be formed?" 6304
"125" 88 "Product-sum numbers" 6180
"126" 110 "Diophantine reciprocals II" 5415
"127" 109 "Darts" 5217
"128" 204 "Generalised Hamming Numbers" 5121
"129" 105 "Special subset sums: testing" 5094
"130" 103 "Special subset sums: optimum" 5034
"131" 122 "Efficient exponentiation" 5032
"132" 191 "Prize Strings" 4934
"133" 131 "Prime cube partnership" 4871
"134" 111 "Primes with runs" 4701
"135" 134 "Prime pair connection" 4611
"136" 188 "The hyperexponentiation of a number" 4503
"137" 118 "Pandigital prime sets" 4399
"138" 132 "Large repunit factors" 4184
"139" 135 "Same differences" 4156
"140" 129 "Repunit divisibility" 4119
"141" 174 "Counting the number of \"hollow\" square laminae that can form one, two, three, ... distinct arrangements" 4110
"142" 106 "Special subset sums: meta-testing" 4047
"143" 144 "Investigating multiple reflections of a laser beam" 4005
"144" 127 "abc-hits" 3969
"145" 357 "Prime generating integers" 3959
"146" 164 "Numbers for which no three consecutive digits have a sum greater than a given value" 3899
"147" 142 "Perfect Square Collection" 3873
"148" 130 "Composites with prime repunit property" 3871
"149" 231 "The prime factorisation of binomial coefficients" 3859
"150" 138 "Special isosceles triangles" 3814
"151" 301 "Nim" 3729
"152" 162 "Hexadecimal numbers" 3703
"153" 235 "An Arithmetic Geometric sequence" 3695
"154" 214 "Totient Chains" 3683
"155" 136 "Singleton difference" 3651
"156" 139 "Pythagorean tiles" 3631
"157" 133 "Repunit nonfactors" 3597
"158" 151 "Paper sheets of standard sizes: an expected-value problem" 3565
"159" 197 "Investigating the behaviour of a recursively defined sequence" 3545
"160" 137 "Fibonacci golden nuggets" 3498
"161" 148 "Exploring Pascal's triangle" 3392
"162" 207 "Integer partition equations" 3345
"163" 169 "Exploring the number of different ways a number can be expressed as a sum of powers of 2" 3331
"164" 146 "Investigating a Prime Pattern" 3273
"165" 183 "Maximum product of parts" 3264
"166" 149 "Searching for a maximum-sum subsequence" 3183
"167" 128 "Hexagonal tile differences" 3138
"168" 225 "Tribonacci non-divisors" 3122
"169" 126 "Cuboid layers" 2942
"170" 265 "Binary Circles" 2935
"171" 345 "Matrix Sum" 2930
"172" 190 "Maximising a weighted product" 2827
"173" 216 "Investigating the primality of numbers of the form 2n2-1" 2780
"174" 211 "Divisor Square Sum" 2758
"175" 140 "Modified Fibonacci golden nuggets" 2727
"176" 166 "Criss Cross" 2676
"177" 150 "Searching a triangular array for a sub-triangle having minimum-sum" 2568
"178" 215 "Crack-free Walls" 2565
"179" 172 "Investigating numbers with few repeated digits" 2512
"180" 303 "Multiples with small digits" 2414
"181" 141 "Investigating progressive numbers, n, which are also square" 2412
"182" 234 "Semidivisible numbers" 2382
"183" 158 "Exploring strings for which only one character comes lexicographically after its neighbour to the left" 2379
"184" 267 "Billionaire" 2304
"185" 381 "(prime-k) factorial" 2278
"186" 155 "Counting Capacitor Circuits" 2265
"187" 178 "Step Numbers" 2257
"188" 347 "Largest integer divisible by two primes" 2243
"189" 323 "Bitwise-OR operations on random integers" 2196
"190" 160 "Factorial trailing digits" 2163
"191" 159 "Digital root sums of factorisations" 2136
"192" 277 "A Modified Collatz sequence" 2128
"193" 193 "Squarefree Numbers" 2116
"194" 218 "Perfect right-angled triangles" 2096
"195" 346 "Strong Repunits" 2096
"196" 230 "Fibonacci Words" 2075
"197" 185 "Number Mind" 2054
"198" 387 "Harshad Numbers" 1971
"199" 250 "250250" 1970
"200" 493 "Under The Rainbow" 1966
"201" 297 "Zeckendorf Representation" 1921
"202" 315 "Digital root clocks" 1888
"203" 186 "Connectedness of a network" 1879
"204" 147 "Rectangles in cross-hatched grids" 1854
"205" 293 "Pseudo-Fortunate Numbers" 1795
"206" 171 "Finding numbers for which the sum of the squares of the digits is a square" 1742
"207" 168 "Number Rotations" 1735
"208" 209 "Circular Logic" 1733
"209" 249 "Prime Subset Sums" 1722
"210" 182 "RSA encryption" 1721
"211" 157 "Solving the diophantine equation 1/a+1/b= p/10n" 1715
"212" 202 "Laserbeam" 1678
"213" 154 "Exploring Pascal's pyramid" 1675
"214" 348 "Sum of a square and a cube" 1660
"215" 165 "Intersections" 1659
"216" 152 "Writing 1/2 as a sum of inverse squares" 1655
"217" 143 "Investigating the Torricelli point of a triangle" 1653
"218" 196 "Prime triplets" 1653
"219" 220 "Heighway Dragon" 1642
"220" 153 "Investigating Gaussian Integers" 1621
"221" 317 "Firecracker" 1620
"222" 271 "Modular Cubes, part 1" 1591
"223" 213 "Flea Circus" 1585
"224" 500 "Problem 500!!!" 1577
"225" 351 "Hexagonal orchards" 1543
"226" 240 "Top Dice" 1517
"227" 200 "Find the 200th prime-proof sqube containing the contiguous sub-string \"200\"" 1514
"228" 201 "Subsets with a unique sum" 1488
"229" 156 "Counting Digits" 1483
"230" 401 "Sum of squares of divisors" 1447
"231" 329 "Prime Frog" 1441
"232" 227 "The Chase" 1436
"233" 222 "Sphere Packing" 1432
"234" 286 "Scoring probabilities" 1416
"235" 221 "Alexandrian Integers" 1414
"236" 233 "Lattice points on a circle" 1407
"237" 304 "Primonacci" 1369
"238" 161 "Triominoes" 1320
"239" 189 "Tri-colouring a triangular grid" 1316
"240" 429 "Sum of squares of unitary divisors" 1315
"241" 181 "Investigating in how many ways objects of two different colours can be grouped" 1269
"242" 504 "Square on the Inside" 1265
"243" 170 "Find the largest 0 to 9 pandigital that can be formed by concatenating products" 1249
"244" 336 "Maximix Arrangements" 1248
"245" 239 "Twenty-two Foolish Primes" 1242
"246" 176 "Right-angled triangles that share a cathetus" 1240
"247" 226 "A Scoop of Blancmange" 1234
"248" 407 "Idempotents" 1215
"249" 199 "Iterative Circle Packing" 1210
"250" 232 "The Race" 1199
"251" 163 "Cross-hatched triangles" 1185
"252" 349 "Langton's ant" 1182
"253" 175 "Fractions involving the number of different ways a number can be expressed as a sum of powers of 2" 1173
"254" 210 "Obtuse Angled Triangles" 1161
"255" 208 "Robot Walks" 1157
"256" 266 "Pseudo Square Root" 1129
"257" 167 "Investigating Ulam sequences" 1080
"258" 219 "Skew-cost coding" 1055
"259" 237 "Tours on a 4 x n playing board" 1050
"260" 259 "Reachable Numbers" 1050
"261" 321 "Swapping Counters" 1048
"262" 184 "Triangles containing the origin" 1047
"263" 247 "Squares under a hyperbola" 1018
"264" 307 "Chip Defects" 1012
"265" 274 "Divisibility Multipliers" 1011
"266" 229 "Four Representations using Squares" 1007
"267" 217 "Balanced Numbers" 997
"268" 192 "Best Approximations" 995
"269" 288 "An enormous factorial" 995
"270" 180 "Rational zeros of a function of three variables" 989
"271" 258 "A lagged Fibonacci sequence" 976
"272" 491 "Double pandigital number divisible by 11" 975
"273" 268 "Counting numbers with at least four distinct prime factors less than 100" 972
"274" 358 "Cyclic numbers" 972
"275" 223 "Almost right-angled triangles I" 959
"276" 212 "Combined Volume of Cuboids" 951
"277" 287 "Quadtree encoding (a simple compression algorithm)" 942
"278" 371 "Licence plates" 939
"279" 313 "Sliding game" 938
"280" 228 "Minkowski Sums" 924
"281" 273 "Sum of Squares" 903
"282" 343 "Fractional Sequences" 903
"283" 359 "Hilbert's New Hotel" 900
"284" 389 "Platonic Dice" 894
"285" 251 "Cardano Triplets" 890
"286" 260 "Stone Game" 887
"287" 194 "Coloured Configurations" 886
"288" 244 "Sliders" 883
"289" 291 "Panaitopol Primes" 867
"290" 248 "Numbers for which Euler’s totient function equals 13!" 861
"291" 284 "Steady Squares" 855
"292" 195 "Inscribed circles of triangles with one angle of 60 degrees" 832
"293" 425 "Prime connection" 813
"294" 177 "Integer angled Quadrilaterals" 807
"295" 285 "Pythagorean odds" 788
"296" 224 "Almost right-angled triangles II" 787
"297" 327 "Rooms of Doom" 753
"298" 365 "A huge binomial coefficient" 739
"299" 306 "Paper-strip Game" 732
"300" 333 "Special partitions" 725
"301" 451 "Modular inverses" 725
"302" 263 "An engineers' dream come true" 722
"303" 276 "Primitive Triangles" 721
"304" 300 "Protein folding" 714
"305" 242 "Odd Triplets" 709
"306" 198 "Ambiguous Numbers" 699
"307" 512 "Sums of totients of powers" 695
"308" 253 "Tidying up" 687
"309" 280 "Ant and seeds" 687
"310" 238 "Infinite string tour" 674
"311" 310 "Nim Square" 673
"312" 290 "Digital Signature" 660
"313" 282 "The Ackermann function" 656
"314" 278 "Linear Combinations of Semiprimes" 652
"315" 363 "Bézier Curves" 650
"316" 479 "Roots on the Rise" 650
"317" 254 "Sums of Digit Factorials" 649
"318" 236 "Luxury Hampers" 648
"319" 518 "Prime triples and geometric sequences" 643
"320" 461 "Almost Pi" 633
"321" 255 "Rounded Square Roots" 623
"322" 340 "Crazy Function" 618
"323" 501 "Eight Divisors" 615
"324" 516 "5-smooth totients" 615
"325" 272 "Modular Cubes, part 2" 613
"326" 341 "Golomb's self-describing sequence" 607
"327" 241 "Perfection Quotients" 605
"328" 281 "Pizza Toppings" 594
"329" 252 "Convex Holes" 585
"330" 294 "Sum of digits - experience #23" 581
"331" 443 "GCD sequence" 567
"332" 318 "2011 nines" 565
